name,offices,description,address1,address2,zip_code,city,state_code,country_code,latitude,longitude
cScape,"[{'description': None, 'address1': '4 Pear Tree Court', 'address2': 'Clerkenwell', 'zip_code': 'EC1R 0DS', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': 51.523676, 'longitude': -0.107843}]",,4 Pear Tree Court,Clerkenwell,EC1R 0DS,London,,GBR,51.523676,-0.107843
ProofHQ,"[{'description': '', 'address1': '66 High St', 'address2': 'Northwood, HA6 1BL', 'zip_code': '', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': 51.5320478, 'longitude': -0.011154}]",,66 High St,"Northwood, HA6 1BL",,London,,GBR,51.5320478,-0.011154
Sososher,"[{'description': None, 'address1': '', 'address2': '', 'zip_code': '', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': 51.500152, 'longitude': -0.126236}]",,,,,London,,GBR,51.500152,-0.126236
The Tin,"[{'description': 'The Tin Ltd', 'address1': '24-28a Hatton Wall', 'address2': '', 'zip_code': 'EC1N 8JH', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': 51.52129, 'longitude': -0.10978}]",The Tin Ltd,24-28a Hatton Wall,,EC1N 8JH,London,,GBR,51.52129,-0.10978
Squiz UK,"[{'description': 'London Office', 'address1': '109-123 Clifton Street', 'address2': '', 'zip_code': 'EC2A 4LD', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': 51.521603, 'longitude': -0.083444}, {'description': 'Scotland Office', 'address1': '57-59, The Royal Mile', 'address2': '', 'zip_code': 'EH1 1SR', 'city': 'Edinburgh', 'state_code': None, 'country_code': 'GBR', 'latitude': None, 'longitude': None}]",London Office,109-123 Clifton Street,,EC2A 4LD,London,,GBR,51.521603,-0.083444
Box UK,"[{'description': 'London Office', 'address1': 'One Heddon Street', 'address2': '', 'zip_code': 'W1B 4BD', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': 51.5107737, 'longitude': -0.1392447}, {'description': 'Cardiff Office', 'address1': 'Westgate Court', 'address2': 'Westgate Street', 'zip_code': 'CF10 1DD', 'city': 'Cardiff', 'state_code': None, 'country_code': 'GBR', 'latitude': None, 'longitude': None}]",London Office,One Heddon Street,,W1B 4BD,London,,GBR,51.5107737,-0.1392447
Which Web Design Company,"[{'description': '', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': 51.5001524, 'longitude': -0.1262362}]",,,,,London,,GBR,51.5001524,-0.1262362
Make It Rain,"[{'description': 'Head Office', 'address1': '22-24 Bromells Road', 'address2': '', 'zip_code': 'SW4 0BG', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': 51.4626, 'longitude': -0.139082}]",Head Office,22-24 Bromells Road,,SW4 0BG,London,,GBR,51.4626,-0.139082
Masterpiece,"[{'description': '', 'address1': '109-123 Clifton Street', 'address2': 'Zetland House', 'zip_code': 'EC2A 4LD', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': 51.5219131, 'longitude': -0.0833747}]",,109-123 Clifton Street,Zetland House,EC2A 4LD,London,,GBR,51.5219131,-0.0833747
Boring,"[{'description': '', 'address1': '11-29 Fashion Street', 'address2': '', 'zip_code': 'E1 6PX', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': 51.5183725, 'longitude': -0.0740678}]",,11-29 Fashion Street,,E1 6PX,London,,GBR,51.5183725,-0.0740678
Red Engineering Design,"[{'description': 'London', 'address1': 'Woolverstone House', 'address2': '61 Berners Street', 'zip_code': 'W1T 3NJ', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': 51.5234209, 'longitude': -0.1398614}]",London,Woolverstone House,61 Berners Street,W1T 3NJ,London,,GBR,51.5234209,-0.1398614
